id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,n't goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
156493,do goldfish grow,do goldfish grow,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,n't is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,how is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what either wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,25
