id,text,obfuscatedText,mechanism,level
1030303,who is aziz hashim,abd compound,FEA,12
1030303,who is aziz hashim,compound servant,FEA,12
1030303,who is aziz hashim,arabic servant,FEA,12
1030303,who is aziz hashim,abd names,FEA,12
1030303,who is aziz hashim,names servant,FEA,12
1030303,who is aziz hashim,abd meaning,FEA,12
1030303,who is aziz hashim,abd powerful,FEA,12
1030303,who is aziz hashim,longmire season,FEA,12
1030303,who is aziz hashim,longmire western,FEA,12
1030303,who is aziz hashim,cancellation longmire,FEA,12
1030303,who is aziz hashim,longmire new,FEA,12
1030303,who is aziz hashim,longmire master,FEA,12
1030303,who is aziz hashim,meaning servant,FEA,12
1030303,who is aziz hashim,powerful servant,FEA,12
1030303,who is aziz hashim,comedy western,FEA,12
1030303,who is aziz hashim,drama new,FEA,12
1030303,who is aziz hashim,comedy drama,FEA,12
1030303,who is aziz hashim,new probably,FEA,12
1030303,who is aziz hashim,drama western,FEA,12
1030303,who is aziz hashim,comedy new,FEA,12
1030303,who is aziz hashim,comedy master,FEA,12
1030303,who is aziz hashim,rescued western,FEA,12
1030303,who is aziz hashim,drama rescued,FEA,12
1030303,who is aziz hashim,comedy rescued,FEA,12
1030303,who is aziz hashim,master rescued,FEA,12
1030303,who is aziz hashim,drama master,FEA,12
1030303,who is aziz hashim,new rescued,FEA,12
1030303,who is aziz hashim,netflix probably,FEA,12
1030303,who is aziz hashim,netflix new,FEA,12
1030303,who is aziz hashim,left netflix,FEA,12
1030303,who is aziz hashim,master western,FEA,12
1030303,who is aziz hashim,netflix original,FEA,12
1030303,who is aziz hashim,different netflix,FEA,12
1030303,who is aziz hashim,new western,FEA,12
1030303,who is aziz hashim,cancellation comedy,FEA,12
1030303,who is aziz hashim,netflix watch,FEA,12
1030303,who is aziz hashim,new original,FEA,12
1030303,who is aziz hashim,left new,FEA,12
1030303,who is aziz hashim,rescued season,FEA,12
1030303,who is aziz hashim,netflix programming,FEA,12
1030303,who is aziz hashim,cancellation drama,FEA,12
1030303,who is aziz hashim,cancellation rescued,FEA,12
1030303,who is aziz hashim,compound irst,FEA,12
1030303,who is aziz hashim,netflix streaming,FEA,12
1030303,who is aziz hashim,netflix service,FEA,12
1030303,who is aziz hashim,netflix week,FEA,12
1030303,who is aziz hashim,left probably,FEA,12
1030303,who is aziz hashim,probably streaming,FEA,12
1030303,who is aziz hashim,comedy season,FEA,12
1030303,who is aziz hashim,master new,FEA,12
1037496,who is rep scalise?,bout weighted,FEA,12
1037496,who is rep scalise?,bout way,FEA,12
1037496,who is rep scalise?,best bout,FEA,12
1037496,who is rep scalise?,dividing people,FEA,12
1037496,who is rep scalise?,divide people,FEA,12
1037496,who is rep scalise?,business deal,FEA,12
1037496,who is rep scalise?,deal owner,FEA,12
1037496,who is rep scalise?,deal large,FEA,12
1037496,who is rep scalise?,bring deal,FEA,12
1037496,who is rep scalise?,deal salesperson,FEA,12
1037496,who is rep scalise?,deal similar,FEA,12
